Fylke,Danmark,Grønland,Finland,Færøyene,Island,Sverige,Albania,Andorra,Belarus,Belgia,Bosnia-Hercegovina,Bulgaria,Estland,Frankrike,Gibraltar,Guernsey,Hellas,Irland,Italia,Jersey,Kosovo,Kroatia,Latvia,Liechtenstein,Litauen,Luxembourg,Malta,Man,Moldova,Monaco,Montenegro,Nederland,Nord-Makedonia,Polen,Portugal,Romania,Russland,San Marino,Serbia,Serbia og Montenegro,Slovakia,Slovenia,Spania,Storbritannia,Sveits,Tsjekkia,Tyrkia,Tyskland,Ukraina,Ungarn,Vatikanstaten,Østerrike,Algerie,Angola,Benin,Botswana,Det britiske territoriet i Indiahavet,Burkina Faso,Burundi,Djibouti,Egypt,Ekvatorial-Guinea,Elfenbeinskysten,Eritrea,Eswatini,Etiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kamerun,Kapp Verde,Kenya,Komorene,Kongo,Kongo-Brazzaville,Lesotho,Liberia,Libya,Madagaskar,Malawi,Mali,Marokko,Mauritania,Mauritius,Mayotte,Mosambik,Namibia,Niger,Nigeria,Réunion,Rwanda,São Tomé og Príncipe,Senegal,Den sentralafrikanske republikk,Seychellene,Sierra Leone,Somalia,St. Helena,Sudan,Sør-Afrika,Sør-Sudan,Tanzania,Togo,Tsjad,Tunisia,Uganda,Vest-Sahara,Zambia,Zimbabwe,Afghanistan,Armenia,Aserbajdsjan,Bahrain,Bangladesh,Bhutan,Brunei,Filippinene,De forente arabiske emirater,Georgia,Hongkong,India,Indonesia,Irak,Iran,Israel,Japan,Jemen,Jordan,Kambodsja,Kasakhstan,Kina,Kirgisistan,Kuwait,Kypros,Laos,Libanon,Macao,Malaysia,Maldivene,Mongolia,Myanmar,Nepal,Nord-Korea,Oman,Pakistan,Palestina,Qatar,Saudi-Arabia,Singapore,Sri Lanka,Syria,Sør-Korea,Tadsjikistan,Taiwan,Thailand,Turkmenistan,Usbekistan,Vietnam,Øst-Timor,De amerikanske Jomfruøyene,Anguilla,Antigua og Barbuda,Aruba,Bahamas,Barbados,Belize,Bermuda,Bonaire,Sint Eustatius og Saba,De britiske Jomfruøyene,Canada,Caymanøyene,Costa Rica,Cuba,Curaçao,Dominica,Den dominikanske republikk,El Salvador,Franske Antiller,Grenada,Guadeloupe,Guatemala,Haiti,Honduras,Jamaica,Martinique,Mexico,Montserrat,De nederlandske Antillene,Nicaragua,Panama,Puerto Rico,Saint Kitts og Nevis,Saint Lucia,Saint Vincent og Grenadinene,Saint-Barthélemy,Saint-Martin,Saint-Pierre-et-Miquelon,Sint Maarten,Trinidad og Tobago,Turks- og Caicosøyene,USA,Argentina,Bolivia,Brasil,Chile,Colombia,Ecuador,Falklandsøyene,Fransk Guyana,Guyana,Paraguay,Peru,Surinam,Uruguay,Venezuela,Amerikansk Samoa,Australia,Christmasøya,Cookøyene,Fiji,Fransk Polynesia,Guam,Kiribati,Kokosøyene,Marshalløyene,Mikronesiaføderasjonen,Mindre stillehavsøyer (am.),Nauru,New Zealand,Niue,Nord-Marianene,Norfolkøya,Ny-Caledonia,Palau,Papua Ny-Guinea,Pitcairn,Salomonøyene,Samoa,Tokelau,Tonga,Tuvalu,Vanuatu,Wallis- og Futunaøyene,Statsløse,Uoppgitt
3101 Halden,133,0,38,3,63,510,16,0,8,10,92,27,13,27,0,0,11,7,17,0,628,18,21,0,161,0,0,0,0,0,6,52,73,587,8,64,86,0,36,0,16,4,39,64,12,17,106,126,198,51,0,5,6,3,0,3,0,0,16,0,11,0,3,90,0,30,0,0,3,0,0,5,0,17,0,26,4,0,6,11,0,3,0,50,0,0,0,0,3,0,20,0,22,0,3,0,0,4,388,0,66,0,4,8,7,0,6,23,0,7,0,77,0,0,0,4,0,0,109,3,3,3,45,12,264,124,4,10,12,11,0,4,23,0,5,3,0,20,3,3,0,0,0,25,0,0,125,43,0,8,0,22,424,4,0,0,117,12,0,95,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,35,0,3,15,9,8,0,0,0,0,0,3,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3103 Moss,224,3,64,8,107,533,100,0,14,9,179,40,42,47,0,0,98,15,44,0,301,82,188,0,389,0,0,0,15,0,21,64,78,1412,22,152,340,0,214,0,25,3,100,161,16,8,518,199,855,64,0,10,31,21,4,0,0,0,11,0,14,0,3,207,0,168,0,22,6,5,0,3,8,12,0,45,3,0,26,18,0,0,0,43,0,23,0,3,0,0,49,0,22,0,8,0,0,4,865,0,64,14,6,14,0,0,18,39,0,0,3,256,3,8,0,7,0,0,237,14,3,10,108,8,461,220,5,10,6,8,3,30,193,3,3,0,3,62,0,5,0,0,3,16,0,0,717,24,3,11,3,22,729,20,0,3,208,0,11,958,0,0,0,0,0,0,0,0,0,0,0,18,0,0,11,0,0,0,0,0,0,3,0,0,0,3,0,18,0,0,4,3,0,0,0,0,0,0,0,0,5,0,141,8,3,58,65,21,19,0,0,3,5,33,0,0,22,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3105 Sarpsborg,151,0,53,12,80,591,66,0,22,8,1142,85,23,11,0,0,32,5,27,0,1007,88,92,0,281,0,0,0,20,0,40,36,122,1916,40,193,218,0,254,0,27,25,74,75,11,15,126,175,302,53,0,8,19,8,0,0,0,0,8,0,26,0,0,258,0,91,3,17,9,5,0,12,0,37,0,136,8,0,6,32,0,0,0,114,0,0,0,0,3,0,39,0,20,0,6,0,0,7,750,0,56,16,0,5,0,0,22,54,0,0,3,606,0,4,3,0,88,0,295,22,9,4,70,10,1729,438,4,3,26,18,0,11,167,3,38,3,0,77,0,7,0,0,13,47,3,3,258,149,0,44,5,57,1363,5,3,0,255,3,24,289,0,0,0,0,0,0,0,0,0,0,0,8,0,3,28,0,0,3,0,0,0,0,3,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,57,11,4,49,58,12,5,0,0,0,3,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3107 Fredrikstad,279,6,100,5,178,799,86,0,31,14,679,94,81,42,0,0,64,12,44,0,919,105,162,0,468,0,3,0,28,0,16,54,100,1618,47,194,343,0,299,0,30,7,109,146,33,30,196,326,544,90,0,30,48,3,0,0,0,0,34,0,18,0,9,442,0,181,0,22,23,7,0,18,3,84,0,89,0,0,22,29,3,0,0,177,0,0,0,4,0,0,21,0,8,0,3,0,0,7,1820,0,160,10,4,10,3,0,42,53,0,18,4,573,3,13,0,14,42,0,292,16,4,10,113,11,2450,648,16,8,29,50,0,20,156,3,35,4,0,105,0,5,0,7,5,26,0,3,201,149,0,43,3,76,1699,6,0,0,339,3,13,198,0,0,0,0,0,0,0,0,0,0,0,20,0,3,18,0,0,6,0,0,0,0,5,0,3,0,0,14,0,0,3,3,0,0,0,0,0,0,0,0,4,0,111,18,0,71,55,18,4,0,0,7,3,20,3,3,4,0,17,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3110 Hvaler,10,0,10,0,4,29,0,0,0,3,3,3,0,0,0,0,0,0,0,0,3,7,10,0,16,0,0,0,3,0,0,0,0,26,3,0,12,0,4,0,0,0,0,11,3,0,0,17,74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3112 Råde,27,0,19,3,25,54,3,0,0,0,18,6,0,0,0,0,5,0,0,0,26,9,23,0,53,0,0,0,0,0,0,7,0,426,4,20,38,0,20,0,4,0,11,20,3,3,25,34,116,10,0,0,0,3,0,0,0,0,4,0,3,0,0,6,0,7,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,47,0,4,0,0,3,0,0,3,8,0,0,3,26,0,0,0,0,0,0,20,3,0,0,13,0,29,13,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,22,10,0,3,0,0,56,0,0,0,30,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3114 Våler (Østfold),31,0,8,3,8,71,0,0,0,0,29,6,3,3,0,0,0,3,0,0,14,3,13,0,126,0,0,0,0,0,0,8,0,360,4,13,13,0,9,0,3,0,0,11,3,7,5,32,122,25,0,3,4,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,32,3,0,3,6,0,8,14,3,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,3,0,0,12,0,0,8,0,4,26,0,0,0,21,0,3,44,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3116 Skiptvet,17,0,0,0,16,30,0,0,0,0,13,4,0,0,0,0,0,0,0,0,6,3,31,0,35,0,0,0,3,0,0,6,3,136,3,11,8,0,9,0,4,0,0,10,0,3,0,9,66,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,4,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,10,0,0,0,6,0,6,4,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,13,0,0,0,13,0,0,0,0,3,37,0,0,0,25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3118 Indre Østfold,203,0,35,3,114,368,25,0,21,14,349,70,68,22,0,0,65,4,35,0,251,192,142,0,884,0,0,0,30,0,10,85,95,1737,46,168,204,0,209,0,70,20,66,87,18,14,131,176,574,62,0,7,23,5,3,0,0,0,21,0,17,0,4,395,0,71,0,21,21,3,3,16,15,25,0,80,8,0,14,6,3,0,0,77,0,3,0,6,0,0,25,0,16,0,0,0,0,6,245,0,25,7,0,4,0,0,19,10,0,4,3,198,0,14,0,8,0,0,371,6,3,7,98,6,645,226,6,4,13,11,6,12,79,5,14,3,0,27,0,4,0,6,68,6,0,0,293,26,0,8,0,35,855,3,0,3,252,0,9,301,0,0,0,0,0,0,0,0,0,0,0,9,0,3,13,0,0,21,0,0,0,0,3,0,0,0,0,10,0,0,3,0,0,0,4,0,0,0,0,0,3,0,51,0,3,40,95,14,11,0,0,3,0,10,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3120 Rakkestad,27,0,0,0,5,59,11,0,0,3,91,0,13,3,0,0,4,0,3,0,108,3,14,3,194,0,0,0,0,0,0,6,17,226,0,6,22,0,10,0,9,4,12,3,0,3,11,32,92,6,0,3,0,0,0,0,0,0,0,0,4,0,0,27,0,3,0,0,0,0,0,0,0,5,0,4,3,0,6,3,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,4,51,0,3,3,0,0,0,0,0,7,0,0,0,17,0,0,0,0,0,0,32,0,0,0,0,0,64,11,3,0,0,3,0,3,3,0,3,0,0,3,0,0,0,0,3,3,0,0,6,4,0,0,0,3,120,0,0,0,25,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
