Kommune,lat,lon
Halden,59.1226,11.3871
Moss,59.4340,10.6590
Sarpsborg,59.2841,11.1096
Fredrikstad,59.2205,10.9340
Hvaler,59.0325,11.0313
Råde,59.3517,10.8717
Våler (Østfold),59.4853,10.8765
Skiptvet,59.4771,11.1657
Indre Østfold,59.5750,11.3180
Rakkestad,59.4280,11.3450
Marker,59.5000,11.6500
Aremark,59.2230,11.6950
Bærum,59.9139,10.5160
Asker,59.8333,10.4370
Lillestrøm,59.9550,11.0500
Nordre Follo,59.7600,10.8800
Ullensaker,60.1440,11.1750
Nesodden,59.8400,10.6600
Frogn,59.6700,10.6400
Vestby,59.6040,10.7430
Ås,59.6640,10.7910
Enebakk,59.7640,11.1470
Lørenskog,59.9280,10.9640
Rælingen,59.8920,11.0720
Aurskog-Høland,59.8300,11.5600
Nes,60.1200,11.4700
Gjerdrum,60.0700,11.0300
Nittedal,60.0500,10.8700
Lunner,60.3000,10.6000
Jevnaker,60.2400,10.3800
Nannestad,60.2200,11.0200
Eidsvoll,60.3300,11.2500
Hurdal,60.4300,11.0700
Oslo,59.9139,10.7522
Drammen,59.7440,10.2040
Kongsberg,59.6680,9.6500
Ringerike,60.1700,10.2500
Hole,60.0600,10.2800
Lier,59.7900,10.2700
Øvre Eiker,59.7700,9.8600
Modum,59.9700,9.9800
Krødsherad,60.1700,9.7000
Flå,60.4300,9.4700
Nesbyen,60.5680,9.1020
Gol,60.7030,8.9450
Hemsedal,60.8610,8.5530
Ål,60.6300,8.5600
Hol,60.5400,8.2100
Sigdal,60.0500,9.6200
Flesberg,59.8700,9.4700
Rollag,60.0200,9.2900
Nore og Uvdal,60.2700,8.9500
Kongsvinger,60.1900,11.9900
Hamar,60.7940,11.0680
Lillehammer,61.1150,10.4660
Gjøvik,60.7940,10.6920
Ringsaker,60.8860,10.9300
Løten,60.8170,11.3370
Stange,60.7150,11.1900
Nord-Odal,60.4500,11.6200
Sør-Odal,60.2400,11.6900
Eidskog,59.9900,12.1200
Grue,60.4400,12.0500
Åsnes,60.6000,12.0000
Våler,60.6700,11.8500
Elverum,60.8810,11.5620
Trysil,61.3150,12.2600
Åmot,61.1000,11.4000
Stor-Elvdal,61.5800,11.0500
Rendalen,61.8800,11.0800
Engerdal,61.7600,11.9600
Tolga,62.4100,11.0000
Tynset,62.2700,10.7800
Alvdal,62.1100,10.6300
Folldal,62.1300,9.9900
Os (Innlandet),62.5000,11.2300
Dovre,62.2400,9.5300
Lesja,62.1170,8.8600
Skjåk,61.8800,8.4000
Lom,61.8400,8.5700
Vågå,61.8750,9.1400
Nord-Fron,61.6000,9.7600
Sel,61.8400,9.5700
Sør-Fron,61.5700,9.9500
Ringebu,61.5400,10.1400
Øyer,61.2600,10.4300
Gausdal,61.2200,10.2300
Østre Toten,60.7000,10.8500
Vestre Toten,60.6600,10.5200
Gran,60.4300,10.5600
Søndre Land,60.6600,10.2600
Nordre Land,60.8400,10.1000
Sør-Aurdal,60.7600,9.6200
Etnedal,60.8800,9.6500
Nord-Aurdal,60.9800,9.2400
Vestre Slidre,61.0800,8.9800
Øystre Slidre,61.1400,9.0600
Vang,61.1200,8.5500
Horten,59.4170,10.4830
Holmestrand,59.4870,10.3150
Tønsberg,59.2670,10.4070
Sandefjord,59.1310,10.2160
Larvik,59.0530,10.0270
